LOAD_TYPE,OPR_DT,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,HE25,date,
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,24560,23769,22849,22097,22754,24500,26283,28722,30492,31743,33285,34167,35057,35989,36654,35274,34736,35731,34680,33410,32874,30938,28267,25444,,12/22/2008,
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20006,19568,19425,19597,20273,20821,21808,23324,27339,27837,28186,28279,28611,27016,27059,29517,30702,32186,33327,33025,34548,34375,34297,33154,,12/23/2008,1
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,,12/24/2008,1
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23840,22866,22131,21800,21851,22351,23726,25832,,28948,29436,26328,26468,34347,34585,34624,34494,34388,34573,34900,34694,34246,23838,25450,,12/25/2008,1
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,31474,31474,31474,31474,31474,31474,31474,31474,31474,31474,31474,31474,31474,31474,31474,31474,31474,31474,31474,31474,31474,31474,31474,31474,,12/26/2008,1
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21449,21317,21604,22698,23983,25074,25815,26345,26723,26532,26529,26221,25901,25765,25760,26185,29346,30098,29489,28344,26156,23186,22253,21522,,12/27/2008,1
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20101,19523,19321,19297,19760,21705,24846,26716,28030,28701,29223,29591,29707,29608,29378,29894,31944,31163,30128,28660,26668,24094,21935,20983,,12/28/2008,1
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23660,22743,21954,21938,22427,23485,25270,27381,28675,28121,31652,32413,33186,34176,35000,35369,26229,34026,33286,33299,35625,29137,28258,31474,,12/29/2008,1
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20457,19619,19341,20003,21982,24005,25724,26925,27941,28678,29016,29233,29447,29412,29188,29900,31371,31149,30124,28902,26685,24287,22000,20388,,12/30/2008,1
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,19721,19629,19598,20125,21988,24621,25971,26890,27729,28400,28685,28730,28979,28815,28504,29154,31319,30894,30038,28799,26649,24172,21996,20667,,12/31/2008,1
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,26890,29956,32263,31041,29537,28400,26354,24314,22413,20808,,1/1/2009,1
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22520,22766,21313,22748,23268,25219,25665,23964,24069,23660,23818,23775,23598,23423,28418,23302,30777,28368,29493,27666,25166,23290,22850,21653,,1/2/2009,1
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23718,22544,21908,21829,22479,23782,25372,27613,29202,30809,32152,33039,33720,34459,34957,35194,35123,37506,36131,34971,34143,31953,28703,25845,,1/3/2009,1
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,31474,31474,31474,31474,31474,31474,31474,31474,31474,31473,22408,26448,26570,26076,25870,26591,29493,29864,29616,28329,26369,23933,21879,21307,,1/4/2009,1
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,19915,19437,19345,19458,19745,21958,25018,26834,28688,29954,30483,30901,31038,31024,30572,31007,31811,32586,32196,31444,29876,27857,25243,22445,,1/5/2009,1
0,00:00.0,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20228,19251,18895,,19891,20467,21534,23200,24690,25624,26356,26724,26544,26426,26405,26865,26890,26890,26890,26890,26890,26890,26890,26890,,1/6/2009,1
