zip5	COUNT(DISTINCT sp_id)	cecclmzn	climate	GCOUNTY	WTHRSTN	median_income	median_income_quantiles
93201	3	Z13	W	TULARE	FRESNO	24318	2
93203	404	Z13	W	KERN	BAKERSFIELD	24577	2
93204	838	Z13	W	KINGS	FRESNO	29152	2
93206	84	Z13	W	KERN	BAKERSFIELD	26912	2
93210	57	Z13	R	FRESNO	FRESNO	37434	4
93212	163	Z13	W	KINGS	FRESNO	28769	2
93219	7	Z13	W	TULARE	FRESNO	22735	2
93224	37	Z13	R	KERN	BAKERSFIELD	38056	4
93230	84	Z13	W	KINGS	FRESNO	37224	4
93234	119	Z13	R	FRESNO	FRESNO	25521	2
93239	105	Z13	W	KINGS	FRESNO	26042	2
93241	81	Z13	W	KERN	BAKERSFIELD	25147	2
93242	65	Z13	R	FRESNO	FRESNO	34375	3
93243	18	Z16	W	KERN	BAKERSFIELD	39091	4
93245	642	Z13	W	KINGS	FRESNO	38652	4
93249	27	Z13	W	KERN	BAKERSFIELD	30625	2
93250	197	Z13	W	KERN	BAKERSFIELD	25137	2
93251	6	Z13	R	KERN	BAKERSFIELD	53750	6
93252	60	Z13	W	KERN	BAKERSFIELD	31250	2
93254	27	Z04	R	SANTA BARBARA	BAKERSFIELD	36500	3
93263	381	Z13	W	KERN	BAKERSFIELD	29466	2
93266	14	Z13	W	KINGS	FRESNO	29129	2
93268	903	Z13	W	KERN	BAKERSFIELD	31938	3
93274	12	Z13	W	TULARE	FRESNO	33605	3
93276	6	Z13	W	KERN	BAKERSFIELD	27750	2
93280	486	Z13	W	KERN	BAKERSFIELD	29351	2
93282	12	Z13	W	TULARE	FRESNO	28333	2
93286	5	Z13	W	TULARE	FRESNO	27221	2
93291	3	Z13	W	TULARE	FRESNO	34034	3
93301	769	Z13	W	KERN	BAKERSFIELD	25587	2
93302	1	Z13	W	KERN	BAKERSFIELD	127308	9
93303	1	Z13	W	KERN	BAKERSFIELD	127308	9
93304	2081	Z13	W	KERN	BAKERSFIELD	28613	2
93305	1533	Z13	W	KERN	BAKERSFIELD	24114	2
93306	3095	Z13	W	KERN	BAKERSFIELD	38711	4
93307	2983	Z13	W	KERN	BAKERSFIELD	26462	2
93308	2683	Z13	W	KERN	BAKERSFIELD	33035	3
93309	2946	Z13	W	KERN	BAKERSFIELD	40084	4
93311	2448	Z13	W	KERN	BAKERSFIELD	60700	6
93312	1878	Z13	W	KERN	BAKERSFIELD	61583	7
93313	1514	Z13	W	KERN	BAKERSFIELD	50114	5
93314	593	Z13	W	KERN	BAKERSFIELD	127308	9
93453	10	Z04	R	SAN LUIS OBISPO	BAKERSFIELD	44545	4
93601	1	Z13	R	MARIPOSA	FRESNO	38688	4
93602	90	Z16	R	FRESNO	FRESNO	42885	4
93603	2	Z13	Y	TULARE	FRESNO	21838	2
93604	6	Z16	R	MADERA	FRESNO	33802	3
93606	118	Z13	R	FRESNO	FRESNO	33500	3
93607	36	Z13	R	FRESNO	FRESNO	127308	9
93608	71	Z13	R	FRESNO	FRESNO	27604	2
93609	87	Z13	R	FRESNO	FRESNO	35351	3
93610	462	Z13	R	MADERA	FRESNO	31437	3
93611	1421	Z13	R	FRESNO	FRESNO	64229	7
93612	1736	Z13	R	FRESNO	FRESNO	30646	2
93614	159	Z13	R	MADERA	FRESNO	44161	4
93615	37	Z13	W	TULARE	FRESNO	26694	2
93616	46	Z13	R	FRESNO	FRESNO	32292	3
93618	135	Z13	R	TULARE	FRESNO	32467	3
93619	989	Z13	R	FRESNO	FRESNO	127308	9
93620	235	Z12	R	MERCED	FRESNO	27945	2
93621	9	Z13	R	FRESNO	FRESNO	17063	2
93622	182	Z13	R	FRESNO	FRESNO	29007	2
93624	49	Z13	R	FRESNO	FRESNO	32284	3
93625	210	Z13	R	FRESNO	FRESNO	35253	3
93626	33	Z13	R	FRESNO	FRESNO	40170	4
93627	22	Z13	R	FRESNO	FRESNO	17917	2
93630	722	Z13	R	FRESNO	FRESNO	29750	2
93631	206	Z13	W	TULARE	FRESNO	40064	4
93635	1197	Z12	R	MERCED	FRESNO	42460	4
93636	38	Z13	R	MADERA	FRESNO	127308	9
93637	722	Z13	R	MADERA	FRESNO	37043	4
93638	584	Z13	R	MADERA	FRESNO	35221	3
93640	240	Z13	R	FRESNO	FRESNO	23815	2
93641	4	Z13	Y	FRESNO	FRESNO	30357	2
93643	46	Z16	R	MADERA	FRESNO	35436	3
93644	12	Z13	R	MADERA	FRESNO	35455	3
93646	87	Z13	R	FRESNO	FRESNO	23280	2
93647	54	Z13	W	TULARE	FRESNO	30039	2
93648	169	Z13	R	FRESNO	FRESNO	25085	2
93650	129	Z13	R	FRESNO	FRESNO	22708	2
93651	36	Z13	R	FRESNO	FRESNO	41341	4
93652	6	Z13	R	FRESNO	FRESNO	38750	4
93653	18	Z13	R	MADERA	FRESNO	36875	3
93654	127	Z13	R	FRESNO	FRESNO	35367	3
93656	127	Z13	R	FRESNO	FRESNO	30727	2
93657	991	Z13	R	FRESNO	FRESNO	36732	3
93660	144	Z13	R	FRESNO	FRESNO	23717	2
93662	692	Z13	R	FRESNO	FRESNO	35383	3
93664	18	Z16	Y	FRESNO	FRESNO	42167	4
93665	14	Z12	R	MERCED	FRESNO	12298	2
93666	4	Z13	W	TULARE	FRESNO	28250	2
93667	58	Z13	R	FRESNO	FRESNO	50227	5
93668	109	Z13	R	FRESNO	FRESNO	45208	5
93669	6	Z16	R	MADERA	FRESNO	57614	6
93670	1	Z13	W	TULARE	FRESNO	127308	9
93673	3	Z13	W	TULARE	FRESNO	24844	2
93675	72	Z13	R	FRESNO	FRESNO	38768	4
93701	426	Z13	R	FRESNO	FRESNO	14213	2
93702	1142	Z13	R	FRESNO	FRESNO	21514	2
93703	1167	Z13	R	FRESNO	FRESNO	26116	2
93704	1144	Z13	R	FRESNO	FRESNO	36839	3
